country,gdp.2005,gdp.2006,gdp.2007,gdp.2008,pop.2005,pop.2006,pop.2007,pop.2008,unemp.2005,unemp.2006,unemp.2007,unemp.2008
AD,3.84225553255173,4.01843488250965,4.02157084409338,3.67594675020161,0.081223,0.083373,0.084878,0.085616,NA,NA,NA,NA
AE,253.96554687726402,278.948949835963,287.831772785526,297.01889170759495,4.481976,5.171255,6.0101,6.900142,3.09999990463257,3.29999995231628,3.40000009536743,4.0
AF,9.762978844076331,10.3052281251392,11.721187594205201,12.14448285818,24.399948,25.183615,25.877544,26.528741,8.5,8.80000019073486,8.39999961853027,8.89999961853027
AG,1.11902854862809,1.26871428547719,1.3892287510664698,1.39021664580882,0.082565,0.083467,0.084397,0.08535,NA,NA,NA,NA
AL,9.268392517277041,9.77176009512554,10.3482939415853,11.1275204742981,3.011487,2.992547,2.970017,2.947314,12.5,12.3999996185303,13.5,13.0
AM,7.66775568151717,8.67974634592191,9.873142200518789,10.5543890125207,3.014917,3.002161,2.988117,2.975029,27.7999992370605,28.6000003814697,28.3999996185303,16.3999996185303
AO,46.2260076914898,55.811028114647904,68.42044400149949,77.8741965121845,17.912942,18.541467,19.183907,19.842251,6.80000019073486,6.80000019073486,6.69999980926514,6.80000019073486
AR,334.62672102622497,361.873822181339,394.49944172738395,410.649702491575,39.145491,39.55875,39.969903,40.38186,10.6000003814697,10.1000003814697,8.5,7.80000019073486
AS,NA,NA,NA,NA,0.059117,0.058648,0.057904,0.057031,NA,NA,NA,NA
AT,365.947337748344,378.20961589404,391.906516556291,397.970344370861,8.227829,8.268641,8.295487,8.321496,5.19999980926514,4.69999980926514,4.40000009536743,3.79999995231628
AU,992.339076659351,1021.9392641066701,1060.3402452335501,1099.64387186603,20.3948,20.6979,20.8276,21.2492,5.0,4.80000019073486,4.40000009536743,4.19999980926514
AW,NA,NA,NA,NA,0.100031,0.10083,0.101218,0.101342,NA,NA,NA,NA
AZ,24.7512817159126,33.2904737866938,41.6294044067868,46.1138990187892,8.39185,8.48455,8.5813,8.7634,7.30000019073486,6.59999990463257,6.30000019073486,5.90000009536743
BA,14.921121281140499,15.7236503010536,16.6244200297942,17.5356889219935,3.833377,3.838504,3.840418,3.839749,26.0,31.7999992370605,29.7000007629395,23.8999996185303
BB,4.281126975222731,4.52380654919438,4.60361936400642,4.6218507176436905,0.274013,0.27504,0.276154,0.277315,9.10000038146973,8.69999980926514,7.40000009536743,8.10000038146973
BD,85.86035647770261,91.5888463538372,98.0537698232911,103.95051739146601,142.929979,144.839238,146.592687,148.252473,4.30000019073486,4.19999980926514,4.30000019073486,4.40000009536743
BE,451.326797350993,462.606953112583,478.324234304636,481.898172317881,10.478617,10.547958,10.6257,10.709973,8.39999961853027,8.19999980926514,7.5,7.0
BF,6.87822145676875,7.308327553744641,7.60880079140298,8.05011162269787,13.421929,13.834195,14.264002,14.709011,2.70000004768372,2.29999995231628,3.29999995231628,3.29999995231628
BG,43.4880102182093,46.4248137853817,49.988081046808404,52.81091066565261,7.7399,7.69902,7.545338,7.492561,10.1000003814697,8.89999961853027,6.90000009536743,5.59999990463257
BH,19.620444333846198,20.889606053042097,22.621864899630403,24.034629395827,0.867014,0.940808,1.026568,1.115777,4.40000009536743,4.09999990463257,5.59999990463257,3.70000004768372
BI,1.62708510705727,1.71469806564965,1.79676063353677,1.88746324456885,7.934213,8.21807,8.514578,8.821795,7.30000019073486,7.19999980926514,7.19999980926514,7.19999980926514
BJ,5.77274479573959,6.00059582641589,6.35982242697484,6.6710335908254095,8.182362,8.443717,8.707637,8.973525,1.29999995231628,1.10000002384186,1.10000002384186,1.10000002384186
BM,5.620941625466799,5.932559093079179,6.10139320583452,6.1946160210281604,0.064154,0.064523,0.064888,0.065273,NA,NA,NA,NA
BN,13.264408405291201,13.8477399677348,13.8691460063888,13.6001241692509,0.361889,0.36815,0.374459,0.380786,3.40000009536743,3.29999995231628,3.29999995231628,3.29999995231628
BO,15.6965021035842,16.4494646944835,17.2002651317348,18.2579451570139,9.125405,9.283345,9.441482,9.599916,5.40000009536743,5.30000019073486,5.19999980926514,2.90000009536743
BR,1774.78910594317,1845.0796645246298,1957.11813605633,2056.80917405293,188.47924,190.698241,192.784521,194.769696,9.30000019073486,8.39999961853027,8.10000038146973,7.09999990463257
BS,8.00245449568156,8.203865379276941,8.32253611450224,8.12912559776819,0.329243,0.335801,0.342259,0.348587,10.1999998092651,7.59999990463257,7.90000009536743,8.69999980926514
BT,1.00782315938045,1.0768526555134899,1.26988737745454,1.33044010587773,0.651163,0.66692,0.681471,0.69499,3.09999990463257,3.09999990463257,3.70000004768372,3.79999995231628
BW,10.2309617441341,11.0866661935278,12.0042833629508,12.754003371309901,1.864003,1.895671,1.930431,1.967866,22.0,17.6000003814697,18.5,21.8999996185303
BY,38.8554363392774,42.7409799732051,46.41670425096,51.1512080846036,9.663,9.604,9.56,9.528,6.40000009536743,6.40000009536743,6.30000019073486,6.19999980926514
BZ,1.23010687394271,1.28647726315678,1.30068397055992,1.34267648722142,0.283279,0.290751,0.298403,0.306165,11.0,9.39999961853027,8.5,8.19999980926514
CA,1524.47556882159,1564.46885332945,1596.73989846632,1612.71306125024,32.312,32.570505,32.887928,33.245773,6.69999980926514,6.30000019073486,6.0,6.09999990463257
