country,year,gdp,pop,unemp
EE,2005,19.890940397351002,1.354775,7.90000009536743
EE,2006,21.934119205298,1.34681,5.90000009536743
EE,2007,23.6336158940397,1.34068,4.69999980926514
EE,2008,22.352794701986802,1.33709,5.5
EG,2005,162.212626119905,74.942115,11.1999998092651
EG,2006,173.312772191837,76.274285,10.6000003814697
EG,2007,185.597209140304,77.605327,8.89999961853027
EG,2008,198.871216255072,78.976122,8.69999980926514
ER,2005,2.20076754494132,4.191273,7.5
ER,2006,2.17943733332658,4.30444,7.5
ER,2007,2.21053402598508,4.406299,7.40000009536743
ER,2008,1.9942768182364299,4.500638,7.5
ES,2005,1358.1324503311298,43.653155,9.30000019073486
ES,2006,1414.82251655629,44.397319,8.60000038146973
ES,2007,1468.14569536424,45.226803,8.39999961853027
ES,2008,1484.5298013245,45.954106,11.5
ET,2005,17.860775923361597,76.608431,5.40000009536743
ET,2006,19.7959422475789,78.735675,5.30000019073486
ET,2007,22.0637984497811,80.891968,5.30000019073486
ET,2008,24.444156129287,83.079608,5.19999980926514
FI,2005,237.941721854305,5.246096,8.39999961853027
FI,2006,247.59072847682103,5.266268,7.59999990463257
FI,2007,260.427814569536,5.28872,6.80000019073486
FI,2008,262.304635761589,5.313399,6.30000019073486
FJ,2005,3.03173827588937,0.82182,4.59999990463257
FJ,2006,3.08790069598078,0.82739,6.5
FJ,2007,3.06163335719555,0.834729,8.60000038146973
FJ,2008,3.0932537315226596,0.843206,9
FM,2005,0.298207854082906,0.106198,NA
FM,2006,0.297720587143863,0.10568,NA
FM,2007,0.291588505129794,0.10508,NA
FM,2008,0.28412487695172,0.104472,NA
FO,2005,NA,0.048337,NA
FO,2006,NA,0.048505,NA
FO,2007,NA,0.048599,NA
FO,2008,NA,0.048629,NA
FR,2005,2547.3417218543,63.179356,8.89999961853027
FR,2006,2607.83973509934,63.621376,8.80000019073486
FR,2007,2669.4238410596,64.016229,8
FR,2008,2674.63708609271,64.37499,7.40000009536743
GA,2005,13.6013381897726,1.377777,20.8999996185303
GA,2006,13.1069788603736,1.40892,21
GA,2007,13.8486965529606,1.440902,21.1000003814697
GA,2008,13.390522031744899,1.473741,21.2000007629395
GB,2005,2385.3166039864,60.401206,4.80000019073486
GB,2006,2445.02128275649,60.84682,5.5
GB,2007,2507.5116039863997,61.322463,5.40000009536743
GB,2008,2491.78436078492,61.806995,5.40000009536743
GD,2005,0.80684756079538,0.102951,NA
GD,2006,0.774430775474869,0.103259,NA
GD,2007,0.8220627849950629,0.103587,NA
GD,2008,0.829864579657853,0.103934,NA
GE,2005,9.05391828674546,4.19,13.8000001907349
GE,2006,9.903472455262051,4.136,13.6000003814697
GE,2007,11.1259570832467,4.082,13.3000001907349
GE,2008,11.3834170071232,4.03,16.5
GH,2005,23.4693363727469,21.389514,3.79999995231628
GH,2006,24.971353345820802,21.951891,3.59999990463257
GH,2007,26.056812915850102,22.528041,2.79999995231628
